NAME:Cane Corso;ORIGINE:Italy;CLASS:Working dog;SIZE:Large;PERSONALITY:loyal,courageous,quiet,alert;TRAINABILITY:Indipendent;HEIGHT:Males 24-26in& Females 23-25in;WEIGHT:Males 45kg-50kg & Females 40-45kg;LIFE EXPECTANCY:10-12 years;SHEDDING:Morderate;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:High;EXERCISE NEEDS:Medium;APARTMENT FRIENDLY:Not recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Good;HEALTH PROBLEMS:bloat,hip-displaysia;DROOLING TENDANCY:Morderate-High;image:canecorso.jpg
NAME:Alaskan Malamute;ORIGINE:Alaska;CLASS:Working dog;SIZE:Large;PERSONALITY:loyal,friendly,playful,social;TRAINABILITY:Independent;HEIGHT:Males 24-26in& Females 22-24in;WEIGHT:Males 36kg-43kg & Females 32-38kg;LIFE EXPECTANCY:12-15 years;SHEDDING:High;GROOMING REQUIREMENT:High;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Very Good;HEALTH PROBLEMS:cataracts,hip-dysplasia;DROOLING TENDANCY:Low-Moderate;image:alaskanmalamute.jpg
NAME:Labrador Retriever;ORIGINE:Canada;CLASS:Gun dog;SIZE:Large;PERSONALITY:intelligent,friendly,playful,alert,;TRAINABILITY:Independent;HEIGHT:Males 22-24in& Females 21-23in;WEIGHT:Males 27kg-34kg & Females 25-32kg;LIFE EXPECTANCY:10-12 years;SHEDDING:Moderate;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Good;HEALTH PROBLEMS:epilepsy,hip-dysplaysia;DROOLING TENDANCY:Low-Moderate;image:labrador.jpg
NAME:German Shepherd;ORIGINE:Germany;CLASS:Working dog;SIZE:Large;PERSONALITY:loyal,intelligent,curious,alert;TRAINABILITY:Independent;HEIGHT:Males 24-26in& Females 22-24in;WEIGHT:Males 30kg-40kg & Females 22-32kg;LIFE EXPECTANCY:10-13 years;SHEDDING:High;GROOMING REQUIREMENT:Moderate;ENERGY LEVEL:High;EXERCISE NEEDS:Medium;APARTMENT FRIENDLY:not recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Good;HEALTH PROBLEMS:bloat,allergies;DROOLING TENDANCY:Low;image:germanshepherd.jpg
NAME:Golden Retriever;ORIGINE:United Kingdom;CLASS:Gun dog;SIZE:Medium;PERSONALITY:confident,friendly,intelligent,kind;TRAINABILITY:Independent;HEIGHT:Males 22-24in& Females 20-22in;WEIGHT:Males 27kg-36kg & Females 25-32kg;LIFE EXPECTANCY:10-12 years;SHEDDING:High;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Good;HEALTH PROBLEMS:bloat,hip-dysplasia;DROOLING TENDANCY:Moderate-High;image:goldenretriever.jpg
NAME:French Bulldog;ORIGINE:France;CLASS:Companion dog;SIZE:Small;PERSONALITY:Athletic,Patient,playful,alert;TRAINABILITY:Independent;HEIGHT:Males 12-14in& Females 12-14in;WEIGHT:Males 9kg-10kg & Females 10-13kg;LIFE EXPECTANCY:10-12 years;SHEDDING:Moderate;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:Medium;EXERCISE NEEDS:Medium;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Good;HEALTH PROBLEMS:allergies,hip-dysplasia;DROOLING TENDANCY:Low-Moderate;image:bulldog.jpg
NAME:Poodle;ORIGINE:France;CLASS:Gun dog;SIZE:Medium;PERSONALITY:active,intelligent,faithful,alert;TRAINABILITY:Independent;HEIGHT:Males 15-18in& Females 15-17in;WEIGHT:Males 20kg-32kg & Females 20-27kg;LIFE EXPECTANCY:12-15 years;SHEDDING:Low;GROOMING REQUIREMENT:High;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Good;HEALTH PROBLEMS:epilepsy,hip-dysplasia;DROOLING TENDANCY:Low-Moderate;image:poodle.jpg
NAME:Beagle;ORIGINE:United Kingdom;CLASS:Working dog;SIZE:Small;PERSONALITY:loving,friendly,intelligent,gentle;TRAINABILITY:Independent;HEIGHT:Males 14-16in& Females 13-15in;WEIGHT:Males 10kg-11kg & Females 9-10kg;LIFE EXPECTANCY:12-15 years;SHEDDING:Moderate;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Bad;HEALTH PROBLEMS:dwarfism,epilepsy;DROOLING TENDANCY:Low-Moderate;image:beagle.jpg
NAME:Rottweiler;ORIGINE:Germany;CLASS:Working dog;SIZE:Large;PERSONALITY:loyal,fearless,intelligent,alert;TRAINABILITY:Dependent;HEIGHT:Males 24-26in& Females 22-24in;WEIGHT:Males 36kg-43kg & Females 32-38kg;LIFE EXPECTANCY:12-15 years;SHEDDING:High;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Very Good;HEALTH PROBLEMS:bloat,hip-displaysia;DROOLING TENDANCY:Moderate-High;image:rottweiler.jpg
NAME:Siberian Husky;ORIGINE:Russia;CLASS:Working dog;SIZE:Medium;PERSONALITY:intelligent,friendly,alert,social;TRAINABILITY:Dependent;HEIGHT:Males 21-24in& Females 20-22in;WEIGHT:Males 20kg-27kg & Females 16-23kg;LIFE EXPECTANCY:12-14 years;SHEDDING:High;GROOMING REQUIREMENT:High;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Very Good;HEALTH PROBLEMS:cataracts,hip-dysplasia;DROOLING TENDANCY:Low-Moderate;image:husky.jpg
NAME:Great Dane;ORIGINE:Germany;CLASS:Working dog;SIZE:Giant;PERSONALITY:loving,friendly,confident,gentle;TRAINABILITY:Independent;HEIGHT:Males 30-34in& Females 28-32in;WEIGHT:Males 54kg-90kg & Females 45-59kg;LIFE EXPECTANCY:7-10 years;SHEDDING:High;GROOMING REQUIREMENT:Moderate;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:not recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Bad;HEALTH PROBLEMS:gastric torsion,heart disease;DROOLING TENDANCY:Moderate-High;image:greatdane.jpg
