NAME:Cane Corso;ORIGINE:Italy;CLASS:Working dog;SIZE:Large;PERSONALITY:loyal,courageous,quiet,alert;TRAINABILITY:Indipendent;HEIGHT:Males 24-26in& Females 23-25in;WEIGHT:Males 45kg-50kg & Females 40-45kg;LIFE EXPECTANCY:10-12 years;SHEDDING:Morderate;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:High;EXERCISE NEEDS:Medium;APARTMENT FRIENDLY:Not recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Good;HEALTH PROBLEMS:bloat,hip-displaysia;DROOLING TENDANCY:Morderate-High

NAME:Saint Bernard;ORIGINE:Switzerland;CLASS:Working dog;SIZE:large;PERSONALITY:friendly,affectionate;TRAINABILITY:moderate;HEIGHT:28-30 inches (males), 26-28 inches (female);WEIGHT:140-180 pounds (male), 120-140 pounds (female);LIFE EXPECTANCY:8-10 years;SHEDDING:seasonal;GROOMING REQUIREMENT:moderate;ENERGY LEVEL:moderate;EXERCISE NEEDS:regular excercise;APARTMENT FRIENDLY:not recommended;HEAT TOLERANCE:good;COLD TOLERANCE:good;HEALTH PROBLEMS: hip dysplasia,eye disease;DROOLING TENDANCY:high

NAME:Tibetian Mastiff;ORIGINE:Tibet;CLASS:Working dog;SIZE:large;PERSONALITY:alert, responsive;TRAINABILITY:independant;HEIGHT:males 26in and Females 24in;WEIGHT:90-150 pounds (male), 70-120 pounds (female);LIFE EXPECTANCY:10-12 years;SHEDDING:seasonal;GROOMING REQUIREMENT:moderate;ENERGY LEVEL:;EXERCISE NEEDS:regular exercise;APARTMENT FRIENDLY:not recommeded;HEAT TOLERANCE:good;COLD TOLERANCE:good;HEALTH PROBLEMS:Hip Evaluation,Thyroid Evaluation to be done;DROOLING TENDANCY:moderate

NAME:Rottweiler;ORIGINE:Germany;CLASS:working group;SIZE:large;PERSONALITY:loving, faithful,strong and intense;TRAINABILITY:agreeable;HEIGHT:24-27 inches (male), 22-25 inches (female);WEIGHT:95-135 pounds (male), 80-100 pounds (female);LIFE EXPECTANCY:9-10 years;SHEDDING:moderate;GROOMING REQUIREMENT:weekly brushing;ENERGY LEVEL:moderate-high;EXERCISE NEEDS:regular;APARTMENT FRIENDLY:low-moderate;HEAT TOLERANCE:moderate;COLD TOLERANCE:low-moderate;HEALTH PROBLEMS:hip dysplasia;DROOLING TENDANCY:moderate-high

NAME:Pomeranian;ORIGINE:Germany;CLASS: Toy Group ;SIZE:small;PERSONALITY:Inquisitive, Bold, Lively;TRAINABILITY:;HEIGHT: 6-7 inches;WEIGHT: 3-7 pounds;LIFE EXPECTANCY:12-16 years;SHEDDING:Seasonal;GROOMING REQUIREMENT:2-3 Times a Week Brushing;ENERGY LEVEL:moderate;EXERCISE NEEDS:Regular Exercise;APARTMENT FRIENDLY:moderate-high;HEAT TOLERANCE:low-moderate;COLD TOLERANCE:moderate-high;HEALTH PROBLEMS: luxating patellas, hypothyroidism ;DROOLING TENDANCY:low


